st coed qnt ed
13481084012 FMU002 05 13481084041
13481084041 FMU003 05 13481084111
13481084111 FAU001 10 13481084153
13481084153 HAU001 20 13481084223
13481084223 AMU001 05 13481084303
13481084303 ARU001 05 13481084334
13481084334 LFU001 20 13481084403
13481084403 LFU002 20 13481084432
13481084432 UFU001 20 13481084501
13481084501 UFU002 20 13481084530
13481084530 LFU003 20 13481084605
13481084605 LFU004 20 13481084639
13481084646 LFU008 10 13481084725
13481084725 CFC001 20 13481084757
13481084804 AFU001 20 13481084834
13481084834 BFU001 20 13481084904
13482180605 LCU004 15 13482180722
13482180729 LCU004 15 13482180837
13482180844 LCU004 15 13482180952
13482180959 LFU003 30 13482181043
13482181043 LFU004 30 13482181128
13489103159 EMU001 30 13489103239
13489103239 EMU002 30 13489103318
13489103318 EMU003 30 13489103358
13489103358 EMU004 15 13489103453
13489103453 ERU001 30 13489103531
13489141724 NFU001 30 13489141807
13489141807 CFU001 60 13489141921
13489141921 CFU002 60 13489142034
13489142034 UFU003 30 13489142118
13489142118 UFU004 30 13489142201
13489142201 BFU001 60 13489142317
13489142317 WFU005 30 13489142403
13489142403 WFU006 30 13489142449
13489142449 BFU002 60 13489142607
13489142607 LFU003 60 13489142722
13489142722 LFU004 60 13489142837
13489142837 NFC001 30 13489142922
13489142922 NFC002 30 13489143007
13489143007 LFC005 30 13489143049
13489143049 LFC006 30 13489143131
13489143131 AFM001 60 13489143241
13489143241 BFM001 60 13489143358
13489143358 LFM001 60 13489143516
13489143516 LFM009 60 13489143836
13489143836 LFM003 30 13489143920
13489143920 LFM004 30 13489144004
13489144004 LFM005 60 13489144118
13489144118 LFM007 30 13489144205
13489144205 LFM008 30 13489144251
13492080426 YIU002 06 13492080606
13492080606 FMU001 10 13492080635
13492080635 FMU002 05 13492080705
13492080705 FMU003 05 13492080734
13492080734 FAU001 10 13492080813
13492080813 HAU001 20 13492080843
13492080843 AMU001 05 13492080923
13492080923 ARU001 05 13492080954
13492080954 LFU001 20 13492081023
13492081023 LFU002 20 13492081051
13492081051 UFU001 20 13492081120
13492081120 UFU002 20 13492081149
13492081149 LFU003 20 13492081224
13492081224 LFU004 20 13492081259
13492081305 LFM009 10 13492081355
13492081355 CFC001 20 13492081427
13492081434 AFM001 20 13492081504
13492081504 BFM001 20 13492081541
13492155322 YDU001 30 13492155403
13492155414 LCU003 30 13492155452
13492155504 CCU001 10 13492155609
13492155616 ACU001 15 13492155655
13492155706 LCC001 15 13492155748
13492155748 LBU002 15 13492155831
13492155842 UBU001 15 13492155922
13492155933 YCU001 30 13492160013
13492160025 LCU002 30 13492160105
13492160116 LCU001 15 13492160202
13492160213 CCU002 10 13492160253
13492160304 WCU001 30 13492160343
13492160343 WCU002 30 13492160421
13494175010 LAU002 30 13494175128
13494175159 LAU003 30 13494175316
13494175347 YCU002 30 13494175504
13494175535 YCU003 60 13494175650
13494175722 YCU004 60 13494175837
13494175909 LCU008 30 13494180024
13494180056 LCU009 30 13494180210
13494180210 LFU009 30 13494180257
13494180257 LFU010 30 13494180343
13494180343 LFC001 30 13494180423
13494180423 LFC002 30 13494180503
13494180503 LFU011 30 13494180542
13497232626 UAU001 10 13497232709
13497232709 UAU002 10 13497232753
13497232753 LFU005 10 13497232836
13497232836 YDU001 30 13497232917
13497232928 LCU003 30 13497233006
13497233018 CCU001 10 13497233123
13497233130 ACU001 15 13497233209
13497233220 LCC001 15 13497233302
13497233302 LBU002 15 13497233344
13497233356 UBU001 15 13497233436
13497233447 YCU001 30 13497233527
13497233539 LCU002 30 13497233619
13497233631 LCU001 15 13497233716
13497233728 CCU002 10 13497233808
13497233819 WCU001 30 13497233858
13497233858 WCU002 30 13497233936
13501195648 UAU001 10 13501195732
13501195732 UAU002 10 13501195816
13501195816 LFU005 10 13501195859
13501195859 YDU001 30 13501195939
13501195951 LCU003 30 13501200029
13501200040 CCU001 10 13501200146
13501200152 ACU001 15 13501200231
13501200243 LCC001 15 13501200324
13501200324 LBU002 15 13501200407
13501200418 UBU001 15 13501200458
13501200510 YCU001 30 13501200550
13501200601 LCU002 30 13501200642
13501200653 LCU001 15 13501200739
13501200750 CCU002 10 13501200830
13501200841 WCU001 30 13501200920
13501200920 WCU002 30 13501200958
13556173738 UAU001 10 13556173822
13556173822 UAU002 10 13556173906
13556173906 LFU005 10 13556173949
13556173949 YDU001 30 13556174029
13556174041 LCU003 30 13556174119
13556174130 CCU001 10 13556174236
13556174242 ACU001 15 13556174321
13556174333 LCC001 15 13556174414
13556174414 LBU002 15 13556174457
13556174508 UBU001 15 13556174548
13556174600 YCU001 30 13556174640
13556174651 LCU002 30 13556174732
13556174743 LCU001 15 13556174828
13556174840 CCU002 10 13556174920
13556174931 WCU001 30 13556175010
13556175010 WCU002 30 13556175048
13557085644 NFT001 30 13557085801
13557085801 YFU002 30 13557085949
13557085949 UFU005 15 13557090106
13557090106 UFU006 15 13557090222
13557090222 YFU001 06 13557090336
13557090336 WFU007 30 13557090423
13557090423 WFU008 30 13557090511
13557204623 LAU002 30 13557204740
13557204811 LAU003 30 13557204928
13557204959 YCU002 30 13557205116
13557205148 YCU003 60 13557205303
13557205334 YCU004 60 13557205450
13557205521 LCU008 30 13557205637
13557205709 LCU009 30 13557205823
13557205823 LFU009 30 13557205909
13557205909 LFU010 30 13557205956
13557205956 LFC001 30 13557210036
13557210036 LFC002 30 13557210116
13557210116 LFU011 30 13557210155
13568161521 NFU001 30 13568161602
13568161602 CFU001 30 13568161644
13568161644 CFU002 30 13568161725
13568161725 UFU003 30 13568161807
13568161807 UFU004 30 13568161849
13568161849 BFU001 30 13568161932
13568161932 WFU005 30 13568162016
13568162016 WFU006 30 13568162059
13568162059 BFU002 30 13568162145
13568162145 NFC001 30 13568162228
13568162228 NFC002 30 13568162311
13568162311 LFC005 30 13568162351
13568162351 LFC006 30 13568162432
13568162432 LFM003 30 13568162513
13568162513 LFM004 30 13568162555
13568162555 LFU003 30 13568162638
13568162638 LFU004 30 13568162720
13568162720 LFM007 30 13568162804
13568162804 LFM008 30 13568162848
13568162848 LFM001 30 13568162933
13568162933 LFM009 20 13568163050
13568163050 LFM005 60 13568163203
13568163203 AFM001 60 13568163313
13568163313 BFM001 60 13568163428
13568163628 NFT001 30 13568163742
13568163742 YFU002 30 13568163927
13568163927 UFU005 15 13568164041
13568164041 UFU006 15 13568164154
13568164154 YFU001 06 13568164306
13568164306 WFU007 30 13568164351
13568164351 WFU008 30 13568164436
13569101502 NFT001 30 13569101616
13569101616 YFU002 30 13569101802
13569101802 UFU005 15 13569101915
13569101915 UFU006 15 13569102029
13569102029 YFU001 06 13569102140
13569102140 WFU007 30 13569102225
13569102225 WFU008 30 13569102310
13569134416 CAU002 06 13569134502
13569134513 CAU002 06 13569134550
13569134602 CAU002 04 13569134629
13570094737 NFT001 30 13570094851
13570094851 YFU002 30 13570095036
13570095036 UFU005 15 13570095150
13570095150 UFU006 15 13570095303
13570095303 YFU001 06 13570095415
13570095415 WFU007 30 13570095500
13570095500 WFU008 30 13570095545
13570213423 UAU001 10 13570213505
13570213505 UAU002 10 13570213546
13570213546 LFU005 10 13570213627
13570213627 YDU001 30 13570213706
13570213717 LCU003 30 13570213755
13570213806 CCU001 10 13570213909
13570213915 ACU001 15 13570213953
13570214004 LCC001 15 13570214044
13570214044 LBU002 15 13570214125
13570214136 UBU001 15 13570214214
13570214226 YCU001 30 13570214305
13570214316 LCU002 30 13570214355
13570214406 LCU001 15 13570214449
13570214501 CCU002 10 13570214539
13570214550 WCU001 30 13570214628
13570214628 WCU002 30 13570214706
13571090854 NFT001 30 13571091008
13571091008 YFU002 30 13571091154
13571091154 UFU005 15 13571091307
13571091307 UFU006 15 13571091421
13571091421 YFU001 04 13571091532
13571091532 WFU007 30 13571091617
13571091617 WFU008 30 13571091702
13571105026 WMP001 60 13571105139
